original_path,file_type,inferred_purpose,assigned_domain_folder,category,confidence,reason,copied_to,notes_for_review
.claude/worktrees/recursing-gauss-dc1519/README.md,.md,"copy, notes, or content draft",needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/README.md,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/.gitignore,no extension,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/.gitignore,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/package-lock.json,.json,general project file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/package-lock.json,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/package.json,.json,technical config / deployment note,shared-admin,technical,high,"config, private, technical/config file",domain-organization/shared-admin/technical/.claude/worktrees/recursing-gauss-dc1519/package.json,
.claude/worktrees/recursing-gauss-dc1519/tsconfig.json,.json,general project file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/.claude/worktrees/recursing-gauss-dc1519/tsconfig.json,
.claude/worktrees/recursing-gauss-dc1519/AGENTS.md,.md,"copy, notes, or content draft",resources-domain,misc,low,guide,domain-organization/resources-domain/misc/.claude/worktrees/recursing-gauss-dc1519/AGENTS.md,Low-confidence assignment; review before publishing.
.claude/worktrees/recursing-gauss-dc1519/eslint.config.mjs,.mjs,general project file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/.claude/worktrees/recursing-gauss-dc1519/eslint.config.mjs,
.claude/worktrees/recursing-gauss-dc1519/CLAUDE.md,.md,"copy, notes, or content draft",needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/CLAUDE.md,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/next.config.ts,.ts,website source file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/.claude/worktrees/recursing-gauss-dc1519/next.config.ts,
.claude/worktrees/recursing-gauss-dc1519/app/favicon.ico,.ico,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/app/favicon.ico,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/app/layout.tsx,.tsx,website source file,resources-domain,misc,medium,"pdf, workbook, download",domain-organization/resources-domain/misc/.claude/worktrees/recursing-gauss-dc1519/app/layout.tsx,
.claude/worktrees/recursing-gauss-dc1519/app/page.tsx,.tsx,website source file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/app/page.tsx,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/app/globals.css,.css,website source file,weepingwillowwhisperer.com,misc,low,willow,domain-organization/weepingwillowwhisperer.com/misc/.claude/worktrees/recursing-gauss-dc1519/app/globals.css,Low-confidence assignment; review before publishing.
.claude/worktrees/recursing-gauss-dc1519/.claude/launch.json,.json,general project file,shared-admin,launch-materials,low,config,domain-organization/shared-admin/launch-materials/.claude/worktrees/recursing-gauss-dc1519/.claude/launch.json,Low-confidence assignment; review before publishing.
.claude/worktrees/recursing-gauss-dc1519/public/file.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/public/file.svg,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/public/vercel.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/public/vercel.svg,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/public/next.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/public/next.svg,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/public/globe.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/public/globe.svg,Manual review recommended before publishing.
.claude/worktrees/recursing-gauss-dc1519/public/window.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.claude/worktrees/recursing-gauss-dc1519/public/window.svg,Manual review recommended before publishing.
marketplace-product-organization/product-marketplace-manifest.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes, old, duplicate, config",domain-organization/shared-admin/products/marketplace-product-organization/product-marketplace-manifest.md,
marketplace-product-organization/payhip-upload-checklist.md,.md,"copy, notes, or content draft",shared-admin,products,low,"draft, old",domain-organization/shared-admin/products/marketplace-product-organization/payhip-upload-checklist.md,Low-confidence assignment; review before publishing.
marketplace-product-organization/product-index.csv,.csv,general project file,shared-admin,homepage,low,old,domain-organization/shared-admin/homepage/marketplace-product-organization/product-index.csv,Low-confidence assignment; review before publishing.
marketplace-product-organization/etsy-upload-checklist.md,.md,"copy, notes, or content draft",shared-admin,products,low,"draft, old",domain-organization/shared-admin/products/marketplace-product-organization/etsy-upload-checklist.md,Low-confidence assignment; review before publishing.
marketplace-product-organization/product-marketplace-manifest.csv,.csv,general project file,resources-domain,products,high,"pdf, workbook, worksheet, guide, toolkit, digital product, download, bundle",domain-organization/resources-domain/products/marketplace-product-organization/product-marketplace-manifest.csv,
marketplace-product-organization/needs-review/not-treated-as-products.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"raw, old, config",domain-organization/shared-admin/products/marketplace-product-organization/needs-review/not-treated-as-products.md,
marketplace-product-organization/payhip/quickstart/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/payhip/quickstart/listing-draft.md,
marketplace-product-organization/payhip/quickstart/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/payhip/quickstart/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/quickstart/source-files/quickstart.md,.md,"copy, notes, or content draft",resources-domain,products,low,"pdf, guide",domain-organization/resources-domain/products/marketplace-product-organization/payhip/quickstart/source-files/quickstart.md,Low-confidence assignment; review before publishing.
marketplace-product-organization/payhip/readme/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/payhip/readme/listing-draft.md,
marketplace-product-organization/payhip/readme/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/payhip/readme/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/readme/source-files/readme.md,.md,"copy, notes, or content draft",needs-review,products,low,Multiple possible domain matches,domain-organization/needs-review/products/marketplace-product-organization/payhip/readme/source-files/readme.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/deployment/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/payhip/deployment/listing-draft.md,
marketplace-product-organization/payhip/deployment/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/payhip/deployment/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/deployment/source-files/deployment.md,.md,"copy, notes, or content draft",needs-review,products,low,Multiple possible domain matches,domain-organization/needs-review/products/marketplace-product-organization/payhip/deployment/source-files/deployment.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/build-summary/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/payhip/build-summary/listing-draft.md,
marketplace-product-organization/payhip/build-summary/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/payhip/build-summary/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/build-summary/source-files/build-summary.md,.md,"copy, notes, or content draft",resources-domain,products,medium,"pdf, guide, digital product, download, sales page",domain-organization/resources-domain/products/marketplace-product-organization/payhip/build-summary/source-files/build-summary.md,
marketplace-product-organization/payhip/domain-organization-prompt/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/payhip/domain-organization-prompt/listing-draft.md,
marketplace-product-organization/payhip/domain-organization-prompt/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/payhip/domain-organization-prompt/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/payhip/domain-organization-prompt/source-files/domain-organization-prompt.txt,.txt,"copy, notes, or content draft",resources-domain,products,high,"pdf, workbook, worksheet, guide, toolkit, digital product, download, bundle",domain-organization/resources-domain/products/marketplace-product-organization/payhip/domain-organization-prompt/source-files/domain-organization-prompt.txt,
marketplace-product-organization/etsy/quickstart/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/etsy/quickstart/listing-draft.md,
marketplace-product-organization/etsy/quickstart/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/etsy/quickstart/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/quickstart/source-files/quickstart.md,.md,"copy, notes, or content draft",resources-domain,products,low,"pdf, guide",domain-organization/resources-domain/products/marketplace-product-organization/etsy/quickstart/source-files/quickstart.md,Low-confidence assignment; review before publishing.
marketplace-product-organization/etsy/readme/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/etsy/readme/listing-draft.md,
marketplace-product-organization/etsy/readme/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/etsy/readme/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/readme/source-files/readme.md,.md,"copy, notes, or content draft",needs-review,products,low,Multiple possible domain matches,domain-organization/needs-review/products/marketplace-product-organization/etsy/readme/source-files/readme.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/deployment/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/etsy/deployment/listing-draft.md,
marketplace-product-organization/etsy/deployment/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/etsy/deployment/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/deployment/source-files/deployment.md,.md,"copy, notes, or content draft",needs-review,products,low,Multiple possible domain matches,domain-organization/needs-review/products/marketplace-product-organization/etsy/deployment/source-files/deployment.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/build-summary/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/etsy/build-summary/listing-draft.md,
marketplace-product-organization/etsy/build-summary/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/etsy/build-summary/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/build-summary/source-files/build-summary.md,.md,"copy, notes, or content draft",resources-domain,products,medium,"pdf, guide, digital product, download, sales page",domain-organization/resources-domain/products/marketplace-product-organization/etsy/build-summary/source-files/build-summary.md,
marketplace-product-organization/etsy/domain-organization-prompt/listing-draft.md,.md,"copy, notes, or content draft",shared-admin,products,medium,"draft, notes",domain-organization/shared-admin/products/marketplace-product-organization/etsy/domain-organization-prompt/listing-draft.md,
marketplace-product-organization/etsy/domain-organization-prompt/SOURCE_FILES.md,.md,"copy, notes, or content draft",needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/marketplace-product-organization/etsy/domain-organization-prompt/SOURCE_FILES.md,Manual review recommended before publishing.
marketplace-product-organization/etsy/domain-organization-prompt/source-files/domain-organization-prompt.txt,.txt,"copy, notes, or content draft",resources-domain,products,high,"pdf, workbook, worksheet, guide, toolkit, digital product, download, bundle",domain-organization/resources-domain/products/marketplace-product-organization/etsy/domain-organization-prompt/source-files/domain-organization-prompt.txt,
components/FeaturedSection.tsx,.tsx,website source file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/components/FeaturedSection.tsx,Manual review recommended before publishing.
components/Footer.tsx,.tsx,website source file,weepingwillowwhisperer.com,misc,medium,"willow, about, ms",domain-organization/weepingwillowwhisperer.com/misc/components/Footer.tsx,
components/CartDrawer.tsx,.tsx,website source file,shared-admin,misc,medium,raw,domain-organization/shared-admin/misc/components/CartDrawer.tsx,
components/PillarGrid.tsx,.tsx,website source file,weepingwillowwhisperer.com,misc,low,"willow, ms",domain-organization/weepingwillowwhisperer.com/misc/components/PillarGrid.tsx,Low-confidence assignment; review before publishing.
components/Header.tsx,.tsx,website source file,weepingwillowwhisperer.com,misc,medium,"willow, about, ms",domain-organization/weepingwillowwhisperer.com/misc/components/Header.tsx,
components/ShopSection.tsx,.tsx,website source file,shop-domain,products,medium,shop,domain-organization/shop-domain/products/components/ShopSection.tsx,
public/file.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/public/file.svg,Manual review recommended before publishing.
public/vercel.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/public/vercel.svg,Manual review recommended before publishing.
public/next.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/public/next.svg,Manual review recommended before publishing.
public/globe.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/public/globe.svg,Manual review recommended before publishing.
public/window.svg,.svg,image or visual asset,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/public/window.svg,Manual review recommended before publishing.
lib/data.ts,.ts,website source file,resources-domain,misc,high,"pdf, workbook, guide, toolkit, bundle, resource",domain-organization/resources-domain/misc/lib/data.ts,
